label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
nimbus,1784222945.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,15,61,15985,6
nimbus,1784222945.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222945.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222947.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,15,61,15985,6
nimbus,1784222947.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222947.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222949.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,15,61,15985,6
nimbus,1784222949.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222949.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222951.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,61,14985,7
nimbus,1784222951.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222951.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222953.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,61,14985,7
nimbus,1784222953.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222953.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222955.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,61,14985,7
nimbus,1784222955.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222955.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222957.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,61,14985,7
nimbus,1784222957.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,51,15885,8
nimbus,1784222957.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,46,15695,6
nimbus,1784222959.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,63,14985,7
nimbus,1784222959.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,53,15885,8
nimbus,1784222959.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,54,15695,6
nimbus,1784222961.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,63,14985,7
nimbus,1784222961.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,53,15885,8
nimbus,1784222961.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,54,14695,7
nimbus,1784222963.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,63,14985,7
nimbus,1784222963.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,53,15885,8
nimbus,1784222963.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,54,14695,7
nimbus,1784222965.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,63,14985,7
nimbus,1784222965.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,53,15885,8
nimbus,1784222965.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,54,14695,7
nimbus,1784222967.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,63,14985,7
nimbus,1784222967.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,53,15885,8
nimbus,1784222967.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,54,14695,7
nimbus,1784222969.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,63,14985,7
