label,event_offset,ksvc,decided,decision,tier,boost_cpu,warm_cpu,mode,send_wallclock,latency_ms,http_code,attempts
periodic_fix200m,0.000,measure-yolo-001,0,,,,,,1784285297.713,81375.4,200,340
periodic_fix200m,20.000,measure-yolo-002,0,,,,,,1784285317.714,47468.1,200,242
periodic_fix200m,40.000,measure-yolo-003,0,,,,,,1784285337.714,69291.8,200,295
periodic_fix200m,60.000,insignface-001,0,,,,,,1784285357.714,31113.5,200,1
periodic_fix200m,80.000,insignface-002,0,,,,,,1784285377.714,33562.2,200,1
periodic_fix200m,100.000,insignface-003,0,,,,,,1784285397.714,31568.6,200,1
periodic_fix200m,120.000,jvm-probe-001,0,,,,,,1784285417.714,14238.4,200,87
periodic_fix200m,140.000,jvm-probe-002,0,,,,,,1784285437.714,17381.2,200,101
periodic_fix200m,160.000,jvm-probe-003,0,,,,,,1784285457.714,13688.2,200,82
periodic_fix200m,180.000,measure-yolo-001,0,,,,,,1784285477.714,80597.9,200,342
periodic_fix200m,200.000,measure-yolo-002,0,,,,,,1784285497.714,73850.4,200,287
periodic_fix200m,220.000,measure-yolo-003,0,,,,,,1784285517.714,66233.8,200,273
periodic_fix200m,240.000,insignface-001,0,,,,,,1784285537.714,31513.6,200,1
periodic_fix200m,260.000,insignface-002,0,,,,,,1784285557.714,31209.4,200,1
periodic_fix200m,280.000,insignface-003,0,,,,,,1784285577.714,27818.2,200,1
periodic_fix200m,300.000,jvm-probe-001,0,,,,,,1784285597.714,16069.3,200,94
periodic_fix200m,320.000,jvm-probe-002,0,,,,,,1784285617.714,16082.4,200,97
periodic_fix200m,340.000,jvm-probe-003,0,,,,,,1784285637.714,15687.5,200,94
periodic_fix200m,360.000,measure-yolo-001,0,,,,,,1784285657.714,73758.0,200,318
periodic_fix200m,380.000,measure-yolo-002,0,,,,,,1784285677.714,86956.3,200,359
periodic_fix200m,400.000,measure-yolo-003,0,,,,,,1784285697.714,83154.6,200,345
periodic_fix200m,420.000,insignface-001,0,,,,,,1784285717.714,30963.0,200,1
periodic_fix200m,440.000,insignface-002,0,,,,,,1784285737.714,30614.9,200,1
periodic_fix200m,460.000,insignface-003,0,,,,,,1784285757.714,26967.2,200,1
periodic_fix200m,480.000,jvm-probe-001,0,,,,,,1784285777.714,15934.5,200,96
periodic_fix200m,500.000,jvm-probe-002,0,,,,,,1784285797.714,14877.5,200,90
periodic_fix200m,520.000,jvm-probe-003,0,,,,,,1784285817.714,15322.5,200,91
periodic_fix200m,540.000,measure-yolo-001,0,,,,,,1784285837.714,83705.4,200,334
periodic_fix200m,560.000,measure-yolo-002,0,,,,,,1784285857.714,68713.8,200,287
periodic_fix200m,580.000,measure-yolo-003,0,,,,,,1784285877.714,73771.5,200,308
