label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
periodic_fix200m,1784285296.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,465,85,15535,8
periodic_fix200m,1784285296.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,565,56,15435,10
periodic_fix200m,1784285296.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,530,55,15470,7
periodic_fix200m,1784285298.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,85,15085,10
periodic_fix200m,1784285298.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,56,15210,11
periodic_fix200m,1784285298.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,55,14545,9
periodic_fix200m,1784285300.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,80,15085,10
periodic_fix200m,1784285300.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,52,15210,11
periodic_fix200m,1784285300.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,165,14545,9
periodic_fix200m,1784285302.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,80,15085,10
periodic_fix200m,1784285302.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,52,15210,11
periodic_fix200m,1784285302.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,165,14545,9
periodic_fix200m,1784285304.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,80,15085,10
periodic_fix200m,1784285304.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,52,15210,11
periodic_fix200m,1784285304.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,165,14545,9
periodic_fix200m,1784285306.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,80,15085,10
periodic_fix200m,1784285306.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,52,15210,11
periodic_fix200m,1784285306.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,165,14545,9
periodic_fix200m,1784285308.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,80,15085,10
