label,event_offset,ksvc,decided,decision,tier,boost_cpu,warm_cpu,mode,send_wallclock,latency_ms,http_code,attempts
periodic_nimbus,0.000,measure-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784280833.559,13848.7,200,72
periodic_nimbus,20.000,measure-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784280853.559,11538.6,200,61
periodic_nimbus,40.000,measure-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784280873.558,13518.7,200,72
periodic_nimbus,60.000,insignface-001,1,admit,c_opt,937m,821m,NORMAL,1784280893.558,7842.5,200,1
periodic_nimbus,80.000,insignface-002,1,admit,c_opt,937m,821m,NORMAL,1784280913.558,6406.2,200,1
periodic_nimbus,100.000,insignface-003,1,admit,c_opt,937m,821m,NORMAL,1784280933.559,7574.4,200,1
periodic_nimbus,120.000,jvm-probe-001,1,admit,c_opt,437m,387m,NORMAL,1784280953.558,7435.1,200,46
periodic_nimbus,140.000,jvm-probe-002,1,admit,c_opt,437m,387m,NORMAL,1784280973.558,6148.7,200,36
periodic_nimbus,160.000,jvm-probe-003,1,admit,c_opt,437m,387m,NORMAL,1784280993.558,7054.8,200,45
periodic_nimbus,180.000,measure-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784281013.558,13737.1,200,73
periodic_nimbus,200.000,measure-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784281033.559,11114.1,200,55
periodic_nimbus,220.000,measure-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784281053.558,12493.3,200,67
periodic_nimbus,240.000,insignface-001,1,admit,c_opt,937m,821m,NORMAL,1784281073.559,7668.2,200,1
periodic_nimbus,260.000,insignface-002,1,admit,c_opt,937m,821m,NORMAL,1784281093.560,6398.4,200,1
periodic_nimbus,280.000,insignface-003,1,admit,c_opt,937m,821m,NORMAL,1784281113.558,7803.0,200,1
periodic_nimbus,300.000,jvm-probe-001,1,admit,c_opt,437m,387m,NORMAL,1784281133.558,7449.6,200,43
periodic_nimbus,320.000,jvm-probe-002,1,admit,c_opt,437m,387m,NORMAL,1784281153.559,6297.1,200,42
periodic_nimbus,340.000,jvm-probe-003,1,admit,c_opt,437m,387m,NORMAL,1784281173.558,6957.4,200,41
periodic_nimbus,360.000,measure-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784281193.559,15270.2,200,79
periodic_nimbus,380.000,measure-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784281213.559,11337.4,200,60
periodic_nimbus,400.000,measure-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784281233.558,13432.3,200,69
periodic_nimbus,420.000,insignface-001,1,admit,c_opt,937m,821m,NORMAL,1784281253.558,8807.5,200,1
periodic_nimbus,440.000,insignface-002,1,admit,c_opt,937m,821m,NORMAL,1784281273.558,6632.2,200,1
periodic_nimbus,460.000,insignface-003,1,admit,c_opt,937m,821m,NORMAL,1784281293.557,7494.5,200,1
periodic_nimbus,480.000,jvm-probe-001,1,admit,c_opt,437m,387m,NORMAL,1784281313.558,7469.5,200,46
periodic_nimbus,500.000,jvm-probe-002,1,admit,c_opt,437m,387m,NORMAL,1784281333.558,6097.1,200,37
periodic_nimbus,520.000,jvm-probe-003,1,admit,c_opt,437m,387m,NORMAL,1784281353.558,7165.7,200,48
periodic_nimbus,540.000,measure-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784281373.559,14115.3,200,75
periodic_nimbus,560.000,measure-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784281393.558,10757.2,200,57
periodic_nimbus,580.000,measure-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784281413.558,12569.2,200,68
