label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
periodic_nimbus,1784280831.321,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,15,84,15985,6
periodic_nimbus,1784280831.321,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280831.321,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280833.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,15,84,15985,6
periodic_nimbus,1784280833.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280833.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280835.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,84,14985,7
periodic_nimbus,1784280835.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280835.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280837.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,84,14985,7
periodic_nimbus,1784280837.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280837.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280839.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,84,14985,7
periodic_nimbus,1784280839.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280839.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280841.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,84,14985,7
periodic_nimbus,1784280841.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280841.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280843.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,84,14985,7
periodic_nimbus,1784280843.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,52,15885,8
periodic_nimbus,1784280843.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,42,15695,6
periodic_nimbus,1784280845.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280845.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,57,15885,8
periodic_nimbus,1784280845.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280847.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280847.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,57,15885,8
periodic_nimbus,1784280847.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280849.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280849.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,57,15885,8
periodic_nimbus,1784280849.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280851.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280851.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,57,15885,8
periodic_nimbus,1784280851.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280853.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280853.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,115,57,15885,8
periodic_nimbus,1784280853.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280855.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280855.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,57,14885,9
periodic_nimbus,1784280855.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280857.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,224,14985,7
periodic_nimbus,1784280857.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,57,14885,9
periodic_nimbus,1784280857.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,57,15695,6
periodic_nimbus,1784280859.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280859.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280859.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280861.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280861.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280861.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280863.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280863.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280863.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280865.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280865.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280865.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280867.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280867.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280867.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280869.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280869.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280869.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280871.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280871.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280871.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280873.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,732,14985,7
periodic_nimbus,1784280873.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,53,14885,9
periodic_nimbus,1784280873.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,305,47,15695,6
periodic_nimbus,1784280875.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280875.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280875.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280877.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280877.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280877.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280879.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280879.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280879.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280881.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280881.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280881.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280883.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280883.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280883.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280885.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280885.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280885.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280887.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,98,14985,7
periodic_nimbus,1784280887.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,643,14885,9
periodic_nimbus,1784280887.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,45,14695,7
periodic_nimbus,1784280889.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,93,14985,7
periodic_nimbus,1784280889.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,62,14885,9
periodic_nimbus,1784280889.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,747,14695,7
periodic_nimbus,1784280891.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,15,93,15985,6
periodic_nimbus,1784280891.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,62,14885,9
periodic_nimbus,1784280891.322,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,747,14695,7
